AIC2021
Bait
25 25
965 444
rotational
121
M 1 11 
M 23 13 
M 1 12 
M 23 12 
M 1 13 
M 23 11 
M 2 14 
M 22 10 
M 2 15 
M 22 9 
M 3 16 
M 21 8 
M 3 17 
M 21 7 
M 2 10 
M 22 14 
M 2 9 
M 22 15 
M 3 8 
M 21 16 
M 3 7 
M 21 17 
M 1 10 
M 23 14 
M 2 8 
M 22 16 
M 1 14 
M 23 10 
M 2 16 
M 22 8 
W 4 11 
W 20 13 
W 4 12 
W 20 12 
W 4 13 
W 20 11 
N 12 12 100 
N 12 13 100 
N 12 11 100 
N 12 14 100 
N 12 10 100 
N 12 15 100 
N 12 9 100 
N 0 13 100 
N 24 11 100 
N 0 12 100 
N 24 12 100 
N 0 11 100 
N 24 13 100 
N 0 14 100 
N 24 10 100 
N 0 15 100 
N 24 9 100 
N 0 16 100 
N 24 8 100 
N 0 17 100 
N 24 7 100 
N 0 10 100 
N 24 14 100 
N 0 9 100 
N 24 15 100 
N 0 8 100 
N 24 16 100 
N 0 7 100 
N 24 17 100 
N 11 11 100 
N 13 13 100 
N 11 12 100 
N 13 12 100 
N 11 13 100 
N 13 11 100 
D 0 0 100 
D 24 24 100 
D 1 0 100 
D 23 24 100 
D 2 0 100 
D 22 24 100 
D 3 0 100 
D 21 24 100 
D 4 0 100 
D 20 24 100 
D 6 0 100 
D 18 24 100 
D 7 0 100 
D 17 24 100 
D 9 0 100 
D 15 24 100 
D 10 0 100 
D 14 24 100 
D 12 0 100 
D 12 24 100 
D 14 0 100 
D 10 24 100 
D 16 0 100 
D 8 24 100 
D 18 0 100 
D 6 24 100 
D 22 0 100 
D 2 24 100 
D 24 0 100 
D 0 24 100 
D 23 0 100 
D 1 24 100 
D 20 0 100 
D 4 24 100 
D 21 0 100 
D 3 24 100 
D 19 0 100 
D 5 24 100 
D 17 0 100 
D 7 24 100 
D 15 0 100 
D 9 24 100 
D 13 0 100 
D 11 24 100 
D 11 0 100 
D 13 24 100 
D 8 0 100 
D 16 24 100 
D 5 0 100 
D 19 24 100 
1
9 12
15 12
