AIC2021
YetAnotherBasicMap
20 35
763 280
vertical
87
M 0 34 
M 0 0 
M 1 34 
M 1 0 
M 2 34 
M 2 0 
M 3 34 
M 3 0 
M 5 34 
M 5 0 
M 4 34 
M 4 0 
M 7 21 
M 7 13 
M 7 22 
M 7 12 
M 8 21 
M 8 13 
M 8 22 
M 8 12 
W 18 2 
W 18 32 
W 18 3 
W 18 31 
W 17 2 
W 17 32 
W 17 1 
W 17 33 
W 16 1 
W 16 33 
W 17 21 
W 17 13 
W 16 21 
W 16 13 
W 16 20 
W 16 14 
W 16 19 
W 16 15 
W 16 18 
W 16 16 
W 16 17 
N 15 24 100 
N 15 10 100 
N 13 20 100 
N 13 14 100 
N 10 18 100 
N 10 16 100 
N 7 17 100 
N 3 15 100 
N 3 19 100 
N 2 12 100 
N 2 22 100 
N 1 8 100 
N 1 26 100 
N 5 30 20 
N 5 4 20 
N 6 29 20 
N 6 5 20 
N 7 27 20 
N 7 7 20 
N 9 26 20 
N 9 8 20 
N 11 27 20 
N 11 7 20 
N 13 28 20 
N 13 6 20 
D 17 7 50 
D 17 27 50 
D 15 4 50 
D 15 30 50 
D 13 3 50 
D 13 31 50 
D 12 1 50 
D 12 33 50 
D 8 1 50 
D 8 33 50 
D 5 1 50 
D 5 33 50 
D 4 2 50 
D 4 32 50 
D 3 4 50 
D 3 30 50 
D 2 5 50 
D 2 29 50 
D 18 17 1000 
D 18 18 1000 
D 18 16 1000 
1
9 10
9 24
